material_key,file_name,type,purpose
hermes_find_business_guide,01_Komu_predlozhit_Hermes_audit.pdf,document,Маршрут «найти бизнес»
hermes_offer_pack,02_Offer_dlya_biznesa.pdf,document,Маршрут «сформировать оффер»
hermes_audit_kit,03_Hermes_Audit_Kit.pdf,document,Маршрут «собрать решение»
hermes_result_to_deal,04_Ot_otcheta_k_sdelke_i_RKO.pdf,document,Маршрут «довести до сделки»
hermes_audit_prompt,Hermes_Audit_Prompt.txt,document,Копируемый промпт для Hermes
hermes_audit_workbook,Hermes_Audit_Workbook.xlsx,document,Лиды + аудит + сводка + созвон
hermes_outreach_templates,Hermes_Outreach_Templates.md,document,Шаблоны первого контакта
hermes_presentation_script,Hermes_Result_Presentation_Script.md,document,Сценарий презентации результата
hermes_full_playbook,Hermes_First_Audit_Playbook.pdf,document,Полная инструкция по всей связке
hermes_setup_windows_video,[ADD_URL_OR_FILE],video,Видео установки Windows
hermes_setup_macos_video,[ADD_URL_OR_FILE],video,Видео установки macOS
hermes_model_connection_video,[ADD_URL_OR_FILE],video,Видео подключения модели / подписки
